Stop_ID,2022-02-25_True_Value
5102268,2
5102269,0
5102270,0
5102271,0
5102272,0
5102273,0
5102274,0
5102275,0
5102276,0
5102277,0
5102278,0
5102279,0
5102280,0
5102281,0
5102282,0
5102283,0
5102284,1
5102285,0
5102286,0
5102287,0
5102288,0
5102289,1
5102290,1
5102291,0
5102292,0
5102293,0
5102294,0
5102296,34
5102297,34
5102298,34
5102299,31
5102300,45
5102301,31
5102302,29
5102303,27
5102304,27
5102305,27
5102306,11
5102307,2
5102308,1
5102598,1
5102599,6
5102600,6
5102601,10
5102602,11
5102603,11
5102604,13
5102605,18
5102606,12
5102607,12
5102608,0
5102609,8
5102611,12
5102612,7
5102613,8
5102614,27
5102615,27
5102616,26
5102617,0
5102618,0
5102619,0
5102620,0
5102621,0
5102622,0
5102623,3
5102624,3
5102625,3
5102626,3
5102627,3
5102628,3
5102629,3
5102630,3
5102631,3
5102632,3
5102633,2
5102634,0
5102635,0
5102636,0
5102637,1
5102985,0
5102986,0
5102987,0
5102988,0
5102989,0
5102990,0
5102991,0
5102992,0
5102993,0
5102994,0
5102995,0
5102996,0
5102997,1
5102998,2
5102999,2
5103000,0
5103001,0
5103002,5
5103003,12
5103004,8
5103005,8
5103006,9
5103007,9
5103008,9
5103009,7
5103010,6
5103011,6
5103012,6
5103013,5
5103014,5
5103015,0
5103016,2
5103017,1
5103018,1
5103019,1
5103385,1
5103386,0
5103387,0
5103388,0
5103389,0
5103390,4
5103391,0
5103392,0
5103393,0
5103394,0
5103395,0
5103396,0
5103397,0
5103398,0
5103399,0
5103400,14
5103401,21
5103402,23
5103403,0
5103404,0
5103405,0
5103406,0
5103407,0
5103408,0
5103409,0
5103410,2
5103411,2
5103412,2
5103413,2
5103414,2
5103415,2
5103416,2
5103417,2
5103418,2
5103419,1
5103420,1
5103881,4
5103883,4
5103884,4
5103885,5
5103886,5
5103887,0
5103888,0
5103889,0
5103890,0
5103891,1
5103892,26
5103893,66
5103894,52
5103895,46
5103896,41
5103897,13
5103898,13
5103899,2
5103900,0
5103901,0
5103902,0
5103903,0
5103904,0
5103905,0
5104136,0
5104137,0
5104138,0
5104139,0
5104140,0
5104141,0
5104142,0
5104143,0
5104144,0
5104145,0
5104146,0
5104147,0
5104148,0
5104149,0
5104150,0
5104151,0
5104152,0
5104153,0
5104154,0
5104155,0
5104156,0
5104684,0
5104685,0
5104686,0
5104687,0
5104688,0
5104689,0
5104690,0
5104691,0
5104692,0
5104693,0
5104694,0
5104695,0
5104696,0
5104697,0
5104698,0
5104699,0
5104700,0
5104701,9
5104702,8
5104703,0
5104704,0
5104705,0
5104706,0
5104707,0
5104708,0
5104709,0
5104710,0
5104711,0
5104712,0
5104713,0
5104714,0
5104715,0
5104716,0
5104717,0
5104718,0
5104719,0
5105271,0
5105272,0
5105273,0
5105274,0
5105275,0
5105276,0
5105277,0
5105278,0
5105279,0
5105280,0
5105281,0
5105282,0
5105283,0
5105284,0
5105285,0
5105286,0
5105287,0
5105288,17
5105289,6
5105290,3
5105291,7
5105292,3
5105293,0
5105294,0
5105295,0
5105296,0
5105297,0
5105298,0
5105299,0
5105300,0
5105301,0
5105303,0
5105304,0
5105913,3
5105914,2
5105915,1
5105916,2
5105917,4
5105918,5
5105919,8
5106842,0
5106843,0
5106844,12
5106845,0
5106846,0
5106847,0
5107623,0
5107624,0
5107625,0
5107626,0
5107627,0
5107628,0
5107629,3
5107630,3
5107631,5
5107632,5
5107633,5
5107634,40
5107635,0
5107636,31
5107637,20
5107638,20
5107639,20
5107640,19
5107641,0
5107642,0
5107643,0
5107644,0
5107912,0
5107913,0
5107914,0
5107915,0
5107916,0
5107917,0
5107918,0
5107919,0
5107920,0
5108198,0
5108199,0
5108200,0
5108201,0
5108202,0
5108203,0
5108204,0
5108205,0
5108206,0
5108207,0
5108208,0
5108209,0
5108210,0
5108211,0
5108212,0
5108213,0
5108214,0
5108215,0
5108216,0
5108217,0
5108218,0
5108486,41
5108487,3
5108488,3
5108489,6
5108490,6
5108491,7
5108902,13
5108903,35
5108904,8
5108905,34
5108906,12
5108908,48
5108909,0
5108910,47
5108912,15
5108913,8
5108914,0
5108915,6
5108916,3
5108917,0
5108918,0
5108919,2
5108920,0
5108921,0
5108922,2
5108923,4
5108924,2
5108925,2
5108926,2
5108927,0
5108930,0
5188965,0
6169751,0
