stop,2022-02-25 15:00:00,2022-02-25 15:10:00,2022-02-25 15:20:00,2022-02-25 15:30:00,2022-02-25 15:40:00,2022-02-25 15:50:00,2022-02-25 16:00:00,2022-02-25 16:10:00,2022-02-25 16:20:00,2022-02-25 16:30:00,2022-02-25 16:40:00,2022-02-25 16:50:00,0,1,2,3,4,5,6,7,8,9,10,11
5102268,0.0,0.0,0.0,4.33890044384571,4.33890044384571,4.33890044384571,4.33890044384571,4.33890044384571,0.0,4.33890044384571,4.33890044384571,4.33890044384571,-55.38168,3.0138617,-0.21686363,-28.592146,30.345703,6.514003,56.05931,-22.42707,-33.36524,25.80566,-3.0538425,17.749855
5102269,0.0,0.0,0.0,2.137867144690094,0.0,2.137867144690094,2.137867144690094,0.0,2.137867144690094,0.0,0.0,0.0,-28.976627,-23.844831,5.845875,7.881686,9.0036335,10.311142,35.484047,6.646493,-8.734953,36.58515,-1.9295969,-1.7257633
5102270,0.0,0.0,0.0,2.17049132581483,0.0,2.17049132581483,2.17049132581483,0.0,2.17049132581483,0.0,0.0,0.0,-29.0299,-23.74784,5.872306,7.890933,8.886938,10.397836,35.84971,6.619677,-8.617826,36.5556,-2.1459732,-1.5413675
5102271,0.0,0.0,0.0,2.171209076306196,0.0,2.171209076306196,2.171209076306196,0.0,2.171209076306196,0.0,0.0,0.0,-29.031075,-23.745708,5.872887,7.8911366,8.88437,10.399743,35.85775,6.6190867,-8.61525,36.55495,-2.150733,-1.5373096
5102272,0.0,0.0,0.0,2.184371521908966,0.0,2.184371521908966,2.184371521908966,0.0,2.184371521908966,0.0,0.0,0.0,-29.052567,-23.70658,5.883551,7.894869,8.837289,10.434722,36.00528,6.6082687,-8.567994,36.54303,-2.2380295,-1.4629135
5102273,0.0,0.0,0.0,2.173675714920346,0.0,2.173675714920346,2.173675714920346,0.0,2.173675714920346,0.0,0.0,2.173675714920346,-31.758078,-18.07424,4.116252,6.0747223,10.3978,10.045509,43.36664,-3.6065927,-6.4956055,37.346737,-3.4556284,0.5413723
5102274,0.0,0.0,2.215373063848993,2.215373063848993,0.0,2.215373063848993,0.0,2.215373063848993,2.215373063848993,0.0,0.0,2.215373063848993,-30.616499,-26.80386,14.896495,-11.620205,30.018917,9.332058,28.736723,2.1141229,-15.451908,36.191956,-1.857192,-6.732111
5102275,0.0,0.0,2.2556584087780647,2.2556584087780647,0.0,2.2556584087780647,0.0,2.2556584087780647,2.2556584087780647,0.0,0.0,2.2556584087780647,-30.7098,-26.74209,15.092572,-11.963816,30.262009,9.417561,29.049763,1.9997497,-15.434481,36.149593,-2.113717,-6.6034155
5102276,0.0,0.0,2.373390105544722,2.373390105544722,0.0,2.373390105544722,0.0,2.373390105544722,2.373390105544722,0.0,0.0,2.373390105544722,-30.982468,-26.561583,15.6656,-12.9679985,30.972435,9.667441,29.9646,1.6654963,-15.383543,36.02579,-2.8633914,-6.2273126
5102277,0.0,0.0,2.432551128922036,2.432551128922036,0.0,2.432551128922036,0.0,2.432551128922036,2.432551128922036,0.0,0.0,2.432551128922036,-31.11948,-26.470871,15.953546,-13.472605,31.329432,9.793007,30.424309,1.4975324,-15.357948,35.963577,-3.2401094,-6.0383186
5102278,0.0,0.0,2.510944336158852,0.0,2.510944336158852,2.510944336158852,0.0,2.510944336158852,2.510944336158852,0.0,0.0,2.510944336158852,-31.304459,-24.846073,3.903994,-20.207964,40.707085,8.184938,28.812662,-0.52620125,-18.3499,36.81988,-9.548198,-8.227125
5102279,0.0,0.0,2.5488382959823164,0.0,2.5488382959823164,3.0,0.0,2.5488382959823164,2.5488382959823164,0.0,0.0,2.5488382959823164,-30.527029,-24.619537,4.839841,-20.840702,42.229237,8.074369,28.79464,0.011957169,-18.109978,38.00078,-11.158549,-8.790189
